sgRNA,Gene,Endura,Addgene
sg_21280,HERPUD2,10.453760607696992,10.115467043036615
sg_21093,HAVCR1,367.8728137660989,315.6025717427424
sg_33131,NUP188,212.55979902317216,216.47099472098355
sg_24331,KCNA1,226.00034837592546,182.07840677465907
sg_24904,KCNK18,75.66531487475918,115.3163242906174
sg_47192,SLC9A6,77.15870924728732,64.73898907543433
sg_44189,SLC16A9,164.77117910227165,147.68581882833456
sg_48763,ST6GAL2,98.0662304626813,82.94682975290024
sg_58979,RP11-407N17.3,543.5955516002435,580.6278082703017
sg_54820,TPP1,238.94309960450266,333.81041242020825
